,text_clean,text_preprocessed,Polarity
142,aduhhh kang aril knp gokil bgt skarang para komedian benar ter ancam posisinya karna para musisi skarang jago ngelawak,"['aduhhh', 'kang', 'aril', 'knp', 'gokil', 'bgt', 'skarang', 'komedian', 'ter', 'ancam', 'posisi', 'karna', 'musisi', 'skarang', 'jago', 'ngelawak']",Positif
143,kerem lah boril ga setengah setengah kalo bikin sesuatu biasanya iklan di skip ini malah nonton iklan luar biasa,"['rem', 'boril', 'ga', 'kalo', 'bikin', 'iklan', 'skip', 'nonton', 'iklan']",Netral
144,gila suaranya good job gojek,"['gila', 'suara', 'good', 'job', 'gojek']",Positif
145,ha   gue ngakak liat  lucu juga keren juga,"['ha', 'gue', 'ngakak', 'liat', 'lucu', 'keren']",Positif
146,ahahahaha kocaaak  kereeen,"['ahahahaha', 'kocaaak', 'kereeen']",Netral
147,semoga saya bisa seperti boril,"['moga', 'boril']",Netral
148,kayanya nanti kalo iklan ini lewat pada ga skip deh hehehe   apakah gergaji adalah gaji yang lebih ger    seneng  ck no ah  bedanya kalo gitar akustik kalo akustuck  kenapa gitar dipetik  padahal bukan buah hmmmm  misi paket akhirnya  dua kata indah itu terucap  apakah ini real ariel   iri gak  iri lah masa nggak  karena sepatuh aku disini  ahahaha bikin senyum dan ketawa sendiri liat ini  btw salfok sama nomer rumah nya no h  totalitas banget deh aa ariel aktinya,"['kaya', 'kalo', 'iklan', 'ga', 'skip', 'deh', 'hehehe', 'gergaji', 'gaji', 'ger', 'neng', 'ck', 'no', 'ah', 'beda', 'kalo', 'gitar', 'akustik', 'kalo', 'akustuck', 'gitar', 'petik', 'buah', 'hmmmm', 'misi', 'paket', 'indah', 'ucap', 'real', 'ariel', 'iri', 'gak', 'iri', 'nggak', 'patuh', 'ahahaha', 'bikin', 'senyum', 'ketawa', 'liat', 'btw', 'salfok', 'nomer', 'rumah', 'nya', 'no', 'h', 'totalitas', 'banget', 'deh', 'aa', 'ariel', 'aktinya']",Positif
149,cinematic sekali,['cinematic'],Netral
150,tawa ngakak gua liat nya suksen buat gojek tentunya buat boriel juga,"['tawa', 'ngakak', 'gua', 'liat', 'nya', 'suksen', 'gojek', 'boriel']",Positif
151,suaranya keren bangetkarena sepatuh aku disini,"['suara', 'keren', 'bangetkarena', 'patuh']",Positif
152,ngakak ending nya a,"['ngakak', 'ending', 'nya', 'a']",Positif
153,karena areil aku komen like subcribe sukses buat ariel dan gojek jaya trusssss,"['areil', 'komen', 'like', 'subcribe', 'sukses', 'ariel', 'gojek', 'jaya', 'trusssss']",Positif
154,hbd borielll  trus berkaya buat lagu fenomena lagii,"['hbd', 'borielll', 'trus', 'kaya', 'lagu', 'fenomena', 'lagi']",Netral
155,njirrr kok baru tau gua iklan boriel ngelawak gni wkwkw  tpi kerenn abiss dah idolaku ini,"['njirrr', 'tau', 'gua', 'iklan', 'boriel', 'ngelawak', 'gni', 'wkwkw', 'tpi', 'kerenn', 'abiss', 'dah', 'idola']",Positif
156,duh lucu banget detail alamat nya backsound plot naskahnya,"['duh', 'lucu', 'banget', 'detail', 'alamat', 'nya', 'backsound', 'plot', 'naskah']",Positif
157,biasanya iklan tuh di skiptpi yg ini malah ku ulang sambil seyum sendri,"['iklan', 'tuh', 'skiptpi', 'yg', 'ku', 'ulang', 'seyum', 'sendri']",Netral
158,renyah bgt suaranyaa,"['renyah', 'bgt', 'suaranyaa']",Positif
159,so cute bang ariel selalu sukses ya,"['so', 'cute', 'bang', 'ariel', 'sukses', 'ya']",Positif
160,wkwkw bisa bisanya ariel jdi gini  keren nih tim kreatif iklannya bisa bikin ariel yang beda,"['wkwkw', 'bisa', 'ariel', 'jdi', 'gin', 'keren', 'nih', 'tim', 'kreatif', 'iklan', 'bikin', 'ariel', 'beda']",Positif
161,mantap dan keren arielakhirnya paket datang juga,"['mantap', 'keren', 'arielakhirnya', 'paket']",Positif
162,mantap bang boril kolaborasi keren gojek x ariel ditunggu next project sm bang boril dan noah,"['mantap', 'bang', 'boril', 'kolaborasi', 'keren', 'gojek', 'x', 'ariel', 'tunggu', 'next', 'project', 'sm', 'bang', 'boril', 'noah']",Positif
163,maa syaa allah ariiiieeeellll,"['maa', 'syaa', 'allah', 'ariiiieeeellll']",Netral
164,kalian luar biasa gojek x ariel,"['gojek', 'x', 'ariel']",Netral
165,makasih yaa im not ok right now but this ad make me laugh and feel better,"['makasih', 'yaa', 'im', 'not', 'ok', 'right', 'now', 'but', 'this', 'ad', 'make', 'me', 'laugh', 'and', 'feel', 'better']",Positif
166,kerennnnnnn kereennnnnnn,"['kerennnnnnn', 'kereennnnnnn']",Netral
167,keren ariel luar biasa,"['keren', 'ariel']",Positif
168,epic momentpas boriel teriakdpt banget feel nyasumpah,"['epic', 'momentpas', 'boriel', 'teriakdpt', 'banget', 'feel', 'nyasumpah']",Positif
169,suaranya keren berkharisma,"['suara', 'keren', 'berkharisma']",Positif
170,ini iklan yang gue rewatch berkalikali,"['iklan', 'gue', 'rewatch', 'berkalikali']",Positif
171,cuma iklan doang viewersnya  juta gokil the power of ariel noah,"['iklan', 'doang', 'viewersnya', 'juta', 'gokil', 'the', 'power', 'of', 'ariel', 'noah']",Negatif
172,iklan yang bisa dirasakan,"['iklan', 'rasa']",Netral
173,gila keren bgt iklan se cinematic ini ini mah ada campur tangannya ariel pasti,"['gila', 'keren', 'bgt', 'iklan', 'cinematic', 'mah', 'campur', 'tangan', 'ariel']",Positif
174,i love the jokes bapack bapack hahahaha kenalan dong ama tim kreatifnya,"['i', 'love', 'the', 'jokes', 'bapack', 'bapack', 'hahahaha', 'kenal', 'ama', 'tim', 'kreatif']",Positif
175,iklan yang  tidak pernah bosan diputar terus karena ada arielnya,"['iklan', 'bosan', 'putar', 'arielnya']",Negatif
176,moga mitranya semakin sejahtera dan bonus harian di kembalikan lagi,"['moga', 'mitra', 'sejahtera', 'bonus', 'hari', 'kembali']",Netral
177,cuma ariel yg bikin iklan tapi tetep di tonton banyak orang gk kayak iklan biasa yg klo muncul langsung di skip dan kadang suka emosi,"['ariel', 'yg', 'bikin', 'iklan', 'tetep', 'tonton', 'orang', 'gk', 'kayak', 'iklan', 'yg', 'klo', 'muncul', 'langsung', 'skip', 'kadang', 'suka', 'emosi']",Positif
178,keren,['keren'],Positif
179,konsep ariel memang lama menunggu dan proses tak mengkhianati akhir menjadi mimpi yg sempurna  no h,"['konsep', 'ariel', 'tunggu', 'proses', 'khianat', 'mimpi', 'yg', 'sempurna', 'no', 'h']",Positif
180,gokil ariel,"['gokil', 'ariel']",Negatif
181,sudah serius endingnya lucu,"['serius', 'endingnya', 'lucu']",Negatif
182,mantep rezekinya kang boriel hampir semua produk terkenal ada mang borielnya,"['mantep', 'rezeki', 'kang', 'boriel', 'produk', 'kenal', 'mang', 'borielnya']",Positif
183,anjrit pulang kerja nyampe rumah buka youtube nemu ini video yg baru diupload dan senyum sendiri lihat seorang ariel yg cool gitu bisa kocak gini gara gojek keren lah pokoknya kalo udah ariel yg eksekusi warna videonya bagus cinematic iklannya berkelas nampilin boriel yg keren tapi jadi kocak apalagi scene pas boriel nyuci motor sampe sebersihnya n ternyata dia nyuciin motor tetangganya krna saking gabutnya wkwkk kocak sih iklannya padahal mah di dunia nyata ariel ga bakalan juga nungguin paket sampe selebay itu hhaha,"['anjrit', 'pulang', 'kerja', 'nyampe', 'rumah', 'buka', 'youtube', 'nemu', 'video', 'yg', 'diupload', 'senyum', 'lihat', 'ariel', 'yg', 'cool', 'gitu', 'kocak', 'gin', 'gara', 'gojek', 'keren', 'pokok', 'kalo', 'udah', 'ariel', 'yg', 'eksekusi', 'warna', 'video', 'bagus', 'cinematic', 'iklan', 'kelas', 'nampilin', 'boriel', 'yg', 'keren', 'kocak', 'scene', 'pas', 'boriel', 'nyuci', 'motor', 'sampe', 'bersih', 'n', 'nyuciin', 'motor', 'tetangga', 'krna', 'saking', 'gabutnya', 'wkwkk', 'kocak', 'sih', 'iklan', 'mah', 'dunia', 'nyata', 'ariel', 'ga', 'nungguin', 'paket', 'sampe', 'selebay', 'hhaha']",Positif
184,duh jenius amat si bang gak kerasa ternyata itu cuman iklan hahahha,"['duh', 'jenius', 'si', 'bang', 'gak', 'rasa', 'cuman', 'iklan', 'hahahha']",Negatif
185,hahaha gokil abis luar biasa,"['hahaha', 'gokil', 'abis']",Negatif
186,mantap betul,['mantap'],Positif
187,baru kali ini secara langsung sengaja ngeklik iklan  memang berkelas boril,"['kali', 'langsung', 'sengaja', 'ngeklik', 'iklan', 'kelas', 'boril']",Positif
188,iklan terbaik sepanjang masa,"['iklan', 'baik']",Positif
189,kreatif banget sih skenarionya,"['kreatif', 'banget', 'sih', 'skenario']",Positif
190,masuk semua lagunya,"['masuk', 'lagu']",Netral
191,kerennn baru kali ini ketagihan nonton iklan,"['kerennn', 'kali', 'tagih', 'nonton', 'iklan']",Positif
192,kocak bener iklan nya,"['kocak', 'bener', 'iklan', 'nya']",Positif
193,gak pernah ngebayangin ariel bisa ngereceh kek begini,"['gak', 'ngebayangin', 'ariel', 'ngereceh', 'kek']",Netral
194,ariel vokalis serba bisa acting nya jah bagus luarr biasaa boriel,"['ariel', 'vokalis', 'serba', 'acting', 'nya', 'jah', 'bagus', 'luarr', 'biasaa', 'boriel']",Positif
195,serius iklan terkeren yg pernah gue tonton good job lah buat yg bikin narasinya,"['serius', 'iklan', 'keren', 'yg', 'gue', 'tonton', 'good', 'job', 'yg', 'bikin', 'narasi']",Positif
196,dehemannya merdu amat,"['dehem', 'merdu']",Netral
197,gak bosan liat iklannya,"['gak', 'bosan', 'liat', 'iklan']",Negatif
198,serasa bukan iklan wkwk,"['serasa', 'iklan', 'wkwk']",Netral
199,bang request dong bawain lagu aku bukan jodohnya  kayanya lebih hidup,"['bang', 'request', 'bawain', 'lagu', 'jodoh', 'kaya', 'hidup']",Netral
200,kerennn borrr,"['kerennn', 'borrr']",Positif
201,iklan yg paling banyak di nonton   cuma babang boriel   heheh   emg luar biasa my idola semoga makin sukses,"['iklan', 'yg', 'nonton', 'babang', 'boriel', 'heheh', 'emg', 'my', 'idola', 'moga', 'sukses']",Positif
202,terimakasih gojek karenamu ku tau latar belakang ariel menciptakan lagu menunggumu,"['terimakasih', 'gojek', 'karena', 'ku', 'tau', 'latar', 'ariel', 'cipta', 'lagu', 'tunggu']",Netral
203,sumpah skenarionya bangke banget seorang ariel bisa dijadikan humoris dan hanya gojek yg dapat merubah seorang ariel  yg cool jadi kocak,"['sumpah', 'skenario', 'bangke', 'banget', 'ariel', 'jadi', 'humoris', 'gojek', 'yg', 'rubah', 'ariel', 'yg', 'cool', 'kocak']",Positif
204,wah konsepnya gokil,"['konsep', 'gokil']",Negatif
205,asik banget iklannya,"['asik', 'banget', 'iklan']",Positif
206,musisi semakin lucu sekarang,"['musisi', 'lucu']",Positif
207,jokes bapak  taun yang merdu,"['jokes', 'taun', 'merdu']",Netral
208,aril bisa ngelawak juga ternyata,"['aril', 'ngelawak']",Netral
209,senyumnya sumringah bgt pas paketnya dtg,"['senyum', 'sumringah', 'bgt', 'pas', 'paket', 'dtg']",Positif
210,aaaaa kang arieeelllll,"['aaaaa', 'kang', 'arieeelllll']",Netral
211,pesona ariel memang nyata,"['pesona', 'ariel', 'nyata']",Positif
212,ngakak banget,"['ngakak', 'banget']",Positif
213,wkwk ari bisa ngelucu juga ya hahaha,"['wkwk', 'ari', 'ngelucu', 'ya', 'hahaha']",Positif
214,aa nariel saat menunggu paket trciptalah penggalan kata yg penuh makna indah dan menusuk di hati sesabar inikah q menikmati iklan kamu aa boriel,"['aa', 'nariel', 'tunggu', 'paket', 'trciptalah', 'penggal', 'yg', 'penuh', 'makna', 'indah', 'tusuk', 'hati', 'sabar', 'q', 'nikmat', 'iklan', 'aa', 'boriel']",Positif
215,gara boriel ae gua nontonin iklan full begini wkwk,"['gara', 'boriel', 'ae', 'gua', 'nontonin', 'iklan', 'full', 'wkwk']",Positif
216,biasanya iklan tuh di skip tapi ini iklan malah dicari cari semangat terus buat ariel noahkami semua fans beratmu,"['iklan', 'tuh', 'skip', 'iklan', 'cari', 'cari', 'semangat', 'ariel', 'noahkami', 'fans', 'berat']",Negatif
217,berkharisma the only one ariel noah made in indonesia,"['berkharisma', 'the', 'only', 'one', 'ariel', 'noah', 'made', 'in', 'indonesia']",Positif
218,lucunya om ariel hehe abie sampe ketawa ketawa,"['lucu', 'om', 'ariel', 'hehe', 'abie', 'sampe', 'ketawa', 'ketawa']",Positif
219,gilak si keren bgt ini iklan,"['gilak', 'si', 'keren', 'bgt', 'iklan']",Positif
220,kereeen kk bor,"['kereeen', 'kk', 'bor']",Netral
221,akting nya natural tetep keren  apapun skenarionya sisi lain darimu bs ngelawak jg hihiii biasa nya cool,"['akting', 'nya', 'natural', 'tetep', 'keren', 'apa', 'skenario', 'sisi', 'dari', 'bs', 'ngelawak', 'jg', 'hihiii', 'nya', 'cool']",Positif
222,gokil abis gojek mantap,"['gokil', 'abis', 'gojek', 'mantap']",Negatif
223,mantulll gaesss,"['mantulll', 'gaesss']",Netral
224,ariel aja yg cool bisa bikin orang senyum dgn kata di video itu,"['ariel', 'aja', 'yg', 'cool', 'bikin', 'orang', 'senyum', 'dgn', 'video']",Positif
225,gokilll  iklan fantastis  gak trpikir juga bang boril bisa smpk segitu ekspresif,"['gokilll', 'iklan', 'fantastis', 'gak', 'trpikir', 'bang', 'boril', 'smpk', 'segitu', 'ekspresif']",Positif
226,gojek patut diapresiasi masih pake artis lokal buat promosi,"['gojek', 'patut', 'apresiasi', 'pake', 'artis', 'lokal', 'promosi']",Positif
227,gojek jaya selalu semakin maju apa lg ada ariel noah,"['gojek', 'jaya', 'maju', 'lg', 'ariel', 'noah']",Netral
228,udah berkali nonton ni iklan nagih sih wkwkwk serasa kyk dengerin monolog pas mau konser noah,"['udah', 'kali', 'nonton', 'ni', 'iklan', 'nagih', 'sih', 'wkwkwk', 'serasa', 'kyk', 'dengerin', 'monolog', 'pas', 'konser', 'noah']",Positif
229,paraaaahh keren bangett iklannya,"['paraaaahh', 'keren', 'bangett', 'iklan']",Positif
230,kreatif banget iklannya,"['kreatif', 'banget', 'iklan']",Positif
231,gokil dah,"['gokil', 'dah']",Negatif
232,team kreatifnya keren,"['team', 'kreatif', 'keren']",Positif
233,tetap ngakak meskipun dah liat berkali kali,"['ngakak', 'dah', 'liat', 'kali', 'kali']",Positif
234,baru kali ini nonton iklan sampe full  keren boriel,"['kali', 'nonton', 'iklan', 'sampe', 'full', 'keren', 'boriel']",Positif
235,kocakk,['kocakk'],Netral
236,iklan tp ky filmkeren bgt,"['iklan', 'tp', 'ky', 'filmkeren', 'bgt']",Positif
237,lucu banget anjirrr,"['lucu', 'banget', 'anjirrr']",Positif
238,kalo iklan bintangnya bang arielgua rela gak skipsampe selesai,"['kalo', 'iklan', 'bintang', 'bang', 'arielgua', 'rela', 'gak', 'skipsampe', 'selesai']",Positif
239,keren abis kang suaranya jiiirrrademm banget,"['keren', 'abis', 'kang', 'suara', 'jiiirrrademm', 'banget']",Positif
240,kalian luar biasa,[],Netral
241,gosend luar biasaaa,"['gosend', 'biasaaa']",Positif
242,yaampun iklan panjang yang mau banget aku tonton sampek abis tt kerennn bgtttttttttttt,"['yaampun', 'iklan', 'banget', 'tonton', 'sampek', 'abis', 'tt', 'kerennn', 'bgtttttttttttt']",Positif
243,biasanya iklan diskip yg ini ditunggu pengen denger suara renyahnya yg kaya kue nastar,"['iklan', 'skip', 'yg', 'tunggu', 'ken', 'denger', 'suara', 'renyah', 'yg', 'kaya', 'kue', 'nastar']",Netral
244,asli lucu banget inspiratif kalo yg ngebawai nya arel noah apa aja pasti mantul,"['asli', 'lucu', 'banget', 'inspiratif', 'kalo', 'yg', 'ngebawai', 'nya', 'arel', 'noah', 'aja', 'mantul']",Positif
245,apakah gergaji adalah gaji yg lebih ger,"['gergaji', 'gaji', 'yg', 'ger']",Netral
246,cepet bget y ud ampir  jt view prasaan kmren bru ratusan k viewgk nyangka antusias masyarakat tinggi liat boril dlm  mggu trkhir,"['cepet', 'bget', 'y', 'ud', 'ampir', 'jt', 'view', 'prasaan', 'kmren', 'bru', 'ratus', 'k', 'viewgk', 'nyangka', 'antusias', 'masyarakat', 'liat', 'boril', 'dlm', 'mggu', 'trkhir']",Positif
247,baru kali ini saya nonton iklan sampai full,"['kali', 'nonton', 'iklan', 'full']",Positif
248,suara khas mang boriel emang khas ditelinga,"['suara', 'khas', 'mang', 'boriel', 'emang', 'khas', 'telinga']",Negatif
249,the only iklan yang aku tidak skip dari youtube,"['the', 'only', 'iklan', 'skip', 'youtube']",Netral
250,hanya gojek yang mampu meruntuhkan wibawanya ariel yang setuju mana suaranyaa,"['gojek', 'runtuh', 'wibawa', 'ariel', 'tuju', 'suaranyaa']",Netral
251,tolong perbanyak iklan kreatif kayak gini,"['tolong', 'banyak', 'iklan', 'kreatif', 'kayak', 'gin']",Positif
252,selamat ulang tahun idol doa terbaik untukmu  lahir rabu manis  dan bln september sama sperti saya sendiri  idol sejak  jaman kaset cd bajakan  itu yg cuma saya bsa beli dr hasil ngumpulin uang saku dsaat itu rupiah saya dikasih ibu dan di kumpulin hampir mingguan bsa beli cd bajakan rb  kaset seneng yg paling saya ingat bs membeli full peterpan tahun  an sebagai anak desa dan ibu petani tk mempunyai tv hanya vcd saya udah senang terimakasih ariel km yg memotivasi rambut belah dua ku dulu   trs membeli tas pinggang serta baju yg td ny normal ku jadikan baju lekbong dan tentu menyukai celana cut bray memori kecil ku tulis di komen ini saya bangga mnjadi sahabat noah,"['selamat', 'ulang', 'idol', 'doa', 'baik', 'untuk', 'lahir', 'rabu', 'manis', 'bln', 'september', 'sperti', 'idol', 'jaman', 'kaset', 'cd', 'baja', 'yg', 'bsa', 'beli', 'dr', 'hasil', 'ngumpulin', 'uang', 'saku', 'dsaat', 'rupiah', 'kasih', 'kumpulin', 'minggu', 'bsa', 'beli', 'cd', 'baja', 'rb', 'kaset', 'neng', 'yg', 'bs', 'beli', 'full', 'pan', 'an', 'anak', 'desa', 'tani', 'tk', 'tv', 'vcd', 'udah', 'senang', 'terimakasih', 'ariel', 'km', 'yg', 'motivasi', 'rambut', 'belah', 'ku', 'trs', 'beli', 'tas', 'pinggang', 'baju', 'yg', 'td', 'ny', 'normal', 'ku', 'jadi', 'baju', 'lekbong', 'suka', 'celana', 'cut', 'bray', 'memori', 'ku', 'tulis', 'komen', 'bangga', 'mnjadi', 'sahabat', 'noah']",Positif
253,tolong buat bang ariel jadi aktor utama sebuah film,"['tolong', 'bang', 'ariel', 'aktor', 'utama', 'film']",Positif
254,lucukerensempurna sepatu ditangan kardus dibuang,"['lucukerensempurna', 'sepatu', 'tang', 'kardus', 'buang']",Netral
255,keren   konsep nyambung sm lagu nya top,"['keren', 'konsep', 'nyambung', 'sm', 'lagu', 'nya', 'top']",Positif
256,iklan terkereennn ariel noah bestttt baru x ini liat bor teriak,"['iklan', 'terkereennn', 'ariel', 'noah', 'bestttt', 'x', 'liat', 'bor', 'teriak']",Netral
257,kreatif n lucu mantab,"['kreatif', 'n', 'lucu', 'mantab']",Positif
258,jdi keren bgini iklannya mantul bg aril,"['jdi', 'keren', 'bgini', 'iklan', 'mantul', 'bg', 'aril']",Positif
259,rela liat terus klo ada ariel,"['rela', 'liat', 'klo', 'ariel']",Positif
260,gojek ga pernah ngecewain kalo bikin iklan,"['gojek', 'ga', 'ngecewain', 'kalo', 'bikin', 'iklan']",Negatif
261,lucuuu gokillkerennnklo aril bintang iklan nya auto bagus,"['lucuuu', 'gokillkerennnklo', 'aril', 'bintang', 'iklan', 'nya', 'auto', 'bagus']",Positif
262,semangat terus ka ariel,"['semangat', 'ka', 'ariel']",Netral
263,iklan terkeren  suka kebayang klo ariel main pilem pesonanya itu loh miri sharukhan gak ada matinya,"['iklan', 'keren', 'suka', 'bayang', 'klo', 'ariel', 'main', 'pilem', 'pesona', 'loh', 'miri', 'sharukhan', 'gak', 'mati']",Positif
264,mantep bang boriel,"['mantep', 'bang', 'boriel']",Positif
265,memang kalo baru tambah umur komedinya juga ngikut chaaaaaks,"['kalo', 'umur', 'komedi', 'ngikut', 'chaaaaaks']",Netral
266,nonton iklan ky nonton film yadisimak bangetujungnya ketawa sendiriemang nie ariel,"['nonton', 'iklan', 'ky', 'nonton', 'film', 'yadisimak', 'bangetujungnya', 'ketawa', 'sendiriemang', 'nie', 'ariel']",Positif
267,gokilgojek,['gokilgojek'],Netral
268,anjiiiiiiir keren gila bikin ngakak keren parah,"['anjiiiiiiir', 'keren', 'gila', 'bikin', 'ngakak', 'keren', 'parah']",Positif
269,udh cocok si menurut gw boriel jadi aktor  film yo bisa yo semoga ariel ditawarkan lagi main film layar lebar,"['udh', 'cocok', 'si', 'gw', 'boriel', 'aktor', 'film', 'yo', 'yo', 'moga', 'ariel', 'tawar', 'main', 'film', 'layar', 'lebar']",Positif
270,ariel memang the best lah,"['ariel', 'the', 'best']",Positif
271,admin tolong iklan nya di panjangin biar makin seru,"['admin', 'tolong', 'iklan', 'nya', 'panjangin', 'biar', 'seru']",Positif
272,idolakuuuuuuu kerennnn bangettttt gemassss,"['idolakuuuuuuu', 'kerennnn', 'bangettttt', 'gemassss']",Positif
273,asli ketipu kupikir lagu barunya tapi bgus jugaa,"['asli', 'tipu', 'pikir', 'lagu', 'baru', 'bgus', 'jugaa']",Positif
274,si ariel mau gimana juga tetep aja good looking,"['si', 'ariel', 'gimana', 'tetep', 'aja', 'good', 'looking']",Positif
275,beruntung banget bisa foto ariel noah ketemu langsung jadi iri sama yang antar paket,"['untung', 'banget', 'foto', 'ariel', 'noah', 'ketemu', 'langsung', 'iri', 'paket']",Positif
276,anak band  aktor  lengkap sudah,"['anak', 'band', 'aktor', 'lengkap']",Positif
277,iklan favorit,"['iklan', 'favorit']",Positif
278,sayang bgt bukan yg versi ini yg ditayangin di tv,"['sayang', 'bgt', 'yg', 'versi', 'yg', 'ditayangin', 'tv']",Positif
279,wahh lucu dan keren,"['wahh', 'lucu', 'keren']",Positif
280,nemu di tv nyari di youtube  sini ngumpul  percayalah gojek km akan trending lg krn ada ariel,"['nemu', 'tv', 'nyari', 'youtube', 'ngumpul', 'percaya', 'gojek', 'km', 'trending', 'lg', 'krn', 'ariel']",Netral
281,udah ku ulang x lebih tetep gabosen,"['udah', 'ku', 'ulang', 'x', 'tetep', 'gabosen']",Netral
282,keren bngt asli,"['keren', 'bngt', 'asli']",Positif
283,baru kali ini gw nonton iklan sampe fulll,"['kali', 'gw', 'nonton', 'iklan', 'sampe', 'fulll']",Netral
284,baru kali ini aku betah nnton iklan  bang boriellv,"['kali', 'betah', 'nnton', 'iklan', 'bang', 'boriellv']",Netral
285,sengaja pengin liat ini iklan di ytb ternyata bisa lucu gini yaa,"['sengaja', 'pengin', 'liat', 'iklan', 'ytb', 'lucu', 'gin', 'yaa']",Positif
286,iklan yg hari ini gue cari dan tonton sampai habis berkalikali,"['iklan', 'yg', 'gue', 'cari', 'tonton', 'habis', 'berkalikali']",Positif
287,nama jalan sama nama penerima bikin ngakak abis,"['nama', 'jalan', 'nama', 'terima', 'bikin', 'ngakak', 'abis']",Positif
288,baru x ini nonton iklan betah sampe di ulang,"['x', 'nonton', 'iklan', 'betah', 'sampe', 'ulang']",Netral
289,ngakak woilah,"['ngakak', 'woilah']",Positif
290,mantap gojek,"['mantap', 'gojek']",Positif
291,ngakak lagu keadaan semua jadi,"['ngakak', 'lagu']",Positif
292,bingung apa yang harus di kerjain ampe ngmandiin motor tetangga  keknya sekalinya boril bingungpekerjaan rumah tetangga langsung beres ini mah mau dong jadi tetangganya,"['bingung', 'kerjain', 'ampe', 'ngmandiin', 'motor', 'tetangga', 'kek', 'sekali', 'boril', 'bingungpekerjaan', 'rumah', 'tetangga', 'langsung', 'beres', 'mah', 'tetangga']",Negatif
293,hahahahhaha baru ini nonton iklan berulangngakak so hart,"['hahahahhaha', 'nonton', 'iklan', 'berulangngakak', 'so', 'hart']",Netral
294,kesini gara gara ada iklan model nya borkali ini bor kocak abis,"['kesini', 'gara', 'gara', 'iklan', 'model', 'nya', 'borkali', 'bor', 'kocak', 'abis']",Positif
295,iklan gosend paling se palingpalingnya,"['iklan', 'gosend', 'palingpalingnya']",Positif
296,kereeeen bgt,"['kereeeen', 'bgt']",Positif
297,ariel serba bisa,"['ariel', 'serba']",Netral
298,pak mirip ariel ya si bapak ah nggak jauuh humorku sebatas si bapak bilang jauuuh,"['ariel', 'ya', 'si', 'ah', 'nggak', 'jauuh', 'humor', 'batas', 'si', 'bilang', 'jauuuh']",Positif
299,baru kali ini ga bosen ngulang iklan wkwkwk,"['kali', 'ga', 'bosen', 'ngulang', 'iklan', 'wkwkwk']",Negatif
300,bahagia itu sederhana,"['bahagia', 'sederhana']",Positif
301,karena sepatuaku disini  so lain liriknya  bdw kirain nungguin sang pendamping sampe jadi stress  ternyata hanya nungguin sepatu  mantap iklannya bikin stress q jadi hilang,"['sepatuaku', 'so', 'lirik', 'bdw', 'kirain', 'nungguin', 'sang', 'damping', 'sampe', 'stress', 'nungguin', 'sepatu', 'mantap', 'iklan', 'bikin', 'stress', 'q', 'hilang']",Positif
302,cuma ariel yg difoto kurir tetep kece,"['ariel', 'yg', 'foto', 'kurir', 'tetep', 'kece']",Netral
303,salam mitra gocar samarinda,"['salam', 'mitra', 'gocar', 'samarinda']",Netral
304,entah gw doang atau yg lain juga sama setiap ditungguin pasti lama datangnya giliran ga di tungguin cepet datengnya,"['gw', 'doang', 'yg', 'ditungguin', 'datang', 'gilir', 'ga', 'tungguin', 'cepet', 'datengnya']",Positif
305,pokok ny klo iklan pke ariel noah ga ada yg dislike lebih dri,"['pokok', 'ny', 'klo', 'iklan', 'pke', 'ariel', 'noah', 'ga', 'yg', 'dislike', 'dri']",Positif
306,karna sepatu aku di ssinnii  ngakak anjirrttt,"['karna', 'sepatu', 'ssinnii', 'ngakak', 'anjirrttt']",Positif
307,keren ini mah iklanya apalagi expresi boriel,"['keren', 'mah', 'iklanya', 'expresi', 'boriel']",Positif
308,ya ampun bagus banget iklannya,"['ya', 'ampun', 'bagus', 'banget', 'iklan']",Positif
309,gak mau skip kalo iklan nya kaya gini mah,"['gak', 'skip', 'kalo', 'iklan', 'nya', 'kaya', 'gin', 'mah']",Netral
310,hahahahahaha suka iklannyaaaaa,"['hahahahahaha', 'suka', 'iklannyaaaaa']",Netral
311,luar biasaidolaku,['biasaidolaku'],Netral
312,padahal paling males  lihat iklan tp kalo boriel yg main no skip,"['males', 'lihat', 'iklan', 'tp', 'kalo', 'boriel', 'yg', 'main', 'no', 'skip']",Positif
313,ya allah bang bor gabut ajah bikin gergaji nyuciin motor tetangga,"['ya', 'allah', 'bang', 'bor', 'gabut', 'ajah', 'bikin', 'gergaji', 'nyuciin', 'motor', 'tetangga']",Positif
314,gokilll bgt si iklan ini,"['gokilll', 'bgt', 'si', 'iklan']",Positif
315,biasanya iklan diskip ini malah di cari,"['iklan', 'skip', 'cari']",Netral
316,anjirr lucu pisan,"['anjirr', 'lucu', 'pis']",Positif
317,anjiir ariel napa jadi kocakkk gini wooooyyyy,"['anjiir', 'ariel', 'napa', 'kocakkk', 'gin', 'wooooyyyy']",Netral
318,kata katanya emang gokil wkwkwk,"['emang', 'gokil', 'wkwkwk']",Negatif
319,cuma ariel yang baca terms and condition ampe abis,"['ariel', 'baca', 'terms', 'and', 'condition', 'ampe', 'abis']",Netral
320,nih mah iklanya top markotop dah ayuhh pakai gosend ramaiii kueenn,"['nih', 'mah', 'iklanya', 'top', 'markotop', 'dah', 'ayuhh', 'pakai', 'gosend', 'ramaiii', 'kueenn']",Positif
321,kereeen ariell,"['kereeen', 'ariell']",Netral
